memory_point,kind,likes,reason,author,text,url
嘻嘻迪/表情包/可爱梗,post,4,粉丝点评/记忆表达明确,管教你支配你_,你愿不愿意跟我走红白囍 柴束薪 木葛生 音乐分享｜今日分享音乐｜感觉至上“为我心中挚爱，赠以感激之情”ins｜薄荷曼波壁纸∘˚🧴˚˟🫙˖⭒˚薄荷绿｜壁纸分享｜夏日清凉壁纸｜全屏壁纸｜锁屏壁纸｜氛围感壁纸｜iphone壁纸｜绿色果然是生命的颜色｜薄荷曼波𝙒𝙚𝘾𝙝𝙖𝙩背景图 𝙞𝙣𝙨风 背景图推荐❤️🧡💛💚💙💜🤎🖤🤍杨幂 刘诗诗 唐嫣 赵丽颖 赵今麦 孙千 周雨彤 张婧仪 周也 谭松韵 关晓彤 景甜 李沁江疏影 秦岚 宋祖儿 陈都灵 张子枫 ,https://m.weibo.cn/detail/5294379444734348
嘻嘻迪/表情包/可爱梗,post,4,粉丝点评/记忆表达明确,葡萄柚绿半糖,𝐇𝐢𝐝𝐞｜少年包青天封神名场面｜千鲤湖奇案终于落幕，终究还是一个痴情女和负心男的故事这个故事告诫我们不要以为爱情是你的全部，千万不要恋爱脑萌宠头像｜治愈系头像头像安利｜卡通手绘｜软萌头像｜审美封神｜可爱爆棚｜毛茸茸萌物｜平板全屏壁纸｜手机超清壁纸｜小红书热榜｜无水印原图｜转运好运｜搞怪趣味｜小众独特｜清新温柔｜氛围感拉满｜韩系极简｜高级质感｜闺蜜双人头像｜横屏护眼壁纸 张子枫｜周也｜鞠婧祎｜张婧仪｜欧阳娜娜｜文淇｜陈都灵｜杨幂｜赵今麦｜,https://m.weibo.cn/detail/5288701353526480
嘻嘻迪/表情包/可爱梗,post,4,粉丝点评/记忆表达明确,儿虫不飞,代表我活着的moment Jennie联名名创的周边，🐠直接先送我心心念念的大娃娃，她真的又美又大方。我总打趣让她多赚点钱，多请我吃饭，一直觉得她长得超像迪丽热巴。刚入职场时，我一犯错，她兜底，哪怕自己忙得焦头烂额，也总会耐心帮我解决问题。她离职已经一年咯，我也是从她离开后才真正学会独立、慢慢成长。直到现在，工作上和生活上我还是一如既往习惯性找她说实话和🍫闹翻，也是我最不想回忆的一个点，很莫名其妙，也许是积压已久，吵架过后双方没一个愿意,https://m.weibo.cn/detail/5284129717625622
红毯神图与高定封神造型,post,4,粉丝点评/记忆表达明确,三铜钱师傅,2025乙巳年，2026丙午年，2027丁未年，这三年火势集中，火一旺首先受克的就是弱弱的庚金和辛金，会被折磨得不成人样，其次弱弱的壬水和癸水也是受害者，除非是很强的壬癸水能抗得住强火的冲击，水本可以灭火，但火太旺也可以把水蒸发，弱水面对强火会迎来史诗级的灾难。但是弱弱的丙火和丁火会迎来史持级的加强。#唐嫣曾被张艺谋选中为奥运宝贝 鹿晗 关晓彤 王一博 王俊凯 罗志祥 杨幂 唐嫣 王源 易烊千玺 胡彦斌 迪丽热巴 赵丽颖 杨颖 黄晓明 ,https://m.weibo.cn/detail/5281761858420991
白日提灯贺思慕/女鬼鬼王记忆,post,4,粉丝点评/记忆表达明确,绿芒果和青木瓜,#迪丽热巴生离死别哭戏#热巴在白日提灯里面的每一场每一场情绪戏都精准到恐怖，真的把贺思慕演活了，这还只是2024年的迪丽热巴，难以想象现在的她有多强#白日提灯# ​,https://m.weibo.cn/detail/5288450867856745
花少/你好星期六等综艺片刻,post,4,粉丝点评/记忆表达明确,制作人何小庭,【2022-2023 #微博剧综行业报告# 人物篇】剧集演员发博互动量TOP20：沉香如屑沉香重华-成毅、暮色心约-任嘉伦、莲花楼-成毅、玉骨遥-肖战、长相思第一季-檀健次、长相思第一季-杨紫、苍兰诀-王鹤棣、骄阳伴我-肖战、梦中的那片海-肖战、攻速-迪丽热巴、底线-成毅、星汉灿烂月升沧海-吴磊、苍兰诀-虞书欣、沉香如屑沉香重华-杨紫、长相思第一季-邓为、星汉灿烂月升沧海-赵露思、冰雨火-王一博、两个人的小森林-虞书欣、请君-任嘉伦、长,https://m.weibo.cn/detail/4975580485521135
乔晶晶与《你是我的荣耀》入坑记忆,post,4,粉丝点评/记忆表达明确,提一盏灯63,迪丽热巴超话#超话星愿池# dlrb#迪丽热巴花儿与少年# 2021暑期第一爆，播出时正是奥运会，登腾讯两季度财报，2021首播播放量云合top，网剧播放指数2021最高。2021紫薇星女明星小太阳大明星随处可见乔晶晶稳稳出圈top[/cp]大自然的优美与宁静，调谐在星光与波光的默契中。此时情绪此时天，让我们与@Dear-迪丽热巴 相伴，将清风揽入怀中，将胜景长存心底。,https://m.weibo.cn/detail/4959591717932434
嘻嘻迪/表情包/可爱梗,post,4,粉丝点评/记忆表达明确,L兰叶春葳蕤L,2月27日 娱乐小料 今日圈内动态不断，多部剧集过审待播、综艺阵容曝光、新项目陆续启动，一起来看： 1. 优酷S+综艺《哈哈不哈哈》拟邀阵容曝光，曾舜晞、辛云来、梁龙、杨迪、管乐、雷淞然、王楚然、易立竞、陈鑫海、曹骏等在列​2. 潘粤明、王鹤棣《黑夜告白》近日过审下证，开播在即​3. 黄景瑜主演《斗贼》近日过审下证，积压剧迎来新消息​4. 拍摄于2019年的《完美证据》近日过审下证，有望近期上线​5. 👖悬疑剧《猎雨人间》3月中旬开机，,https://m.weibo.cn/detail/5271084844712749
跑男时期综艺名场面,post,4,粉丝点评/记忆表达明确,婂婂冰,#迪丽热巴跑男只录了12天#迪丽热巴以代班身份（顶替孕期的Angelababy）在2017年2月至4月间分散拍摄约12天，覆盖上海、大连等多地经典场面的录制。节目组通过拆分单场素材复用至多期、强化BGM/慢镜头特写、模糊时间线等剪辑手法，将12天内容延展为12期节目。我居然都没发现只有12天迪丽热巴超话 ​,https://m.weibo.cn/detail/5292217690228744
白日提灯贺思慕/女鬼鬼王记忆,post,4,粉丝点评/记忆表达明确,爱上姐姐是人之常情-,#刘冲和迪丽热巴聚餐#这个小女孩就这样不骄不躁 欢迎大家来预约我们《白日提灯》期待贺思慕@Dear-迪丽热巴 ​,https://m.weibo.cn/detail/5277970077844679
枭起青壤/聂九罗表演突破,post,4,粉丝点评/记忆表达明确,宇浩960124,迪丽热巴超话#迪丽热巴手执疯刀剧照##枭起青壤# dlrb#迪丽热巴陈星旭双人花絮##迪丽热巴慕胥辞##迪丽热巴#热·爱双向奔赴，真诚的热巴永远打动我预约利剑玫瑰O利剑·玫瑰迪丽热巴 | 枭起青壤 | 利剑玫瑰|慕胥辞 |聂九罗 | 邓妍 | 贺思慕 | @Dear-迪丽热巴L《利剑·玫瑰》迪丽热巴金世佳正义出鞘 ​,https://m.weibo.cn/detail/5183371598366002
枭起青壤/聂九罗表演突破,post,4,粉丝点评/记忆表达明确,ryeo赫海,迪丽热巴官方粉丝群超话#迪丽热巴聂九罗# dlrb #迪丽热巴枭起青壤# dlrb #迪丽热巴#没有人能逃过热巴的古装!看一眼就沦陷，演技好的美女谁能不爱啊预约利剑玫瑰O利剑·玫瑰迪丽热巴 | 枭起青壤 | 利剑玫瑰 | 开始推理吧 | 聂九罗 | 邓妍@Dear-迪丽热巴 L一阵阵疯的微博视频 ​,https://m.weibo.cn/detail/5018122792730927
演员成长与角色群像评价,post,4,粉丝点评/记忆表达明确,她的守护者-,90TOP🌸演员#迪丽热巴#待播剧👇🏻腾讯视频#枭起青壤# 预约：O枭起青壤腾讯视频#利剑玫瑰# 预约：O利剑·玫瑰腾讯视频#慕胥辞# 预约：O白日提灯演员@Dear-迪丽热巴 国民度高，路人缘好，演技好，形象佳，每年都有优秀作品稳定输出，流量演技人气实力兼得。一番收视率破1剧最多的90后一番收视拉升率最高的90后一番网剧年冠最多的90后一番集均破亿剧最多的90后一番全网播放量最高的90后一番云合前十剧最多的90后一番既有收视破1又有电,https://m.weibo.cn/detail/5051099360530326
红毯神图与高定封神造型,post,4,粉丝点评/记忆表达明确,岁月染过的-梦,狗仔拍到鞠婧祎和助理一起逛街，期间助理摸了她的臀部。虽然粉丝和部分路人认为这很正常，助理是女生，女生之间经常会有这种亲密动作。但也有很多人觉得这位助理一看就是中性风，在大庭广众摸艺人臀部就是很不合适。她和身边工作人员关系都很好，助理也几乎是24小时陪在身边的，私下这种亲密动作多了去了。2很多人都非常好奇刘昊然和周冬雨的感情现状，他俩又恢复到之前的状态了，没有分开的迹象，而且最近开始共用人脉和资源了。刘昊然没有被逼迫，也没有把柄在周冬雨手,https://m.weibo.cn/detail/4885444574055120
任安乐/帝梓元角色记忆,post,4,粉丝点评/记忆表达明确,清风挽迪87,迪丽热巴超话#长歌行播出两周年了# dlrb#迪丽热巴微博之夜发型拆解# “小时候的快乐和烦恼都很纯粹，记忆中也确实拥有过极致的快乐，让我希望能回到那个时候。不过一切顺其自然长到现在，我觉得都挺好。”——@Dear-迪丽热巴迪丽热巴安乐传|任安乐|迪丽热巴帝梓元|迪丽热巴公诉|安旎@Dear-迪丽热巴 #迪丽热巴安乐传#dlrb#迪丽热巴任安乐#,https://m.weibo.cn/detail/4885438429142200
任安乐/帝梓元角色记忆,post,4,粉丝点评/记忆表达明确,-秦雾凉阮提-,#迪丽热巴新剧公诉精英改名# dlrb#长歌行播出两周年了# dlrb#迪丽热巴公诉#dlrb#迪丽热巴安旎#电视剧安乐传超话 “你是帝家后人， 就该有当年帝家家主翻云覆雨的魄力” 看@Dear-迪丽热巴 饰演的任安乐/帝梓元如何翻云覆雨，我可真是太期待大女主任安乐啦，迪丽热巴古装永远的神！！迪丽热巴安乐传|任安乐|帝梓元|迪丽热巴公诉|安旎 @Dear-迪丽热巴L九方阙的微博视频,https://m.weibo.cn/detail/4885424373763776
李长歌与《长歌行》角色记忆,post,4,粉丝点评/记忆表达明确,四月芳菲317,#和迪丽热巴点亮微博之夜# 好剧推荐先来感受一波大唐女子力女子也可以顶天立地行走在这世间“我想在有生之年，得见盛世大唐！” 迪丽热巴《长歌行》李长歌 @Dear-迪丽热巴#迪丽热巴花儿与少年# 丝路季今日已更新接下来期待#迪丽热巴利剑玫瑰# ，🐧预约起来L阿隼隼呗的微博视频 ​ ​​​,https://m.weibo.cn/detail/4985143318815561
纪云禾与鲛人系角色记忆,post,4,粉丝点评/记忆表达明确,我的心巴er,#一口气炫完与君初相识#就可以有底气大胆的说纪云禾的纸片人破碎感.是有眼睛就能看到的.不需要粉丝去粉饰.眼睛是用来看，心是用来感受的.真不是你洗脑一句谁谁谁或者谁谁演出了我心目中的仙侠剧女主的样子.求求你别撒谎.诚实才是美德！此刻我不是粉.我只是一个普通普通再普通的观众.谢谢迪丽热巴纪云禾没有愚弄我的眼睛宝为了贴近角色都瘦脱相了.我心疼，但我深知这是她作为演员最基本的素养.踏实努力进取一直都是小迪的初心.而我也会一如既往的做你忠实的观众,https://m.weibo.cn/detail/4753197107774610
纪云禾与鲛人系角色记忆,post,4,粉丝点评/记忆表达明确,ID简黎昱,#迪丽热巴与君初相识# dlrb#迪丽热巴纪云禾#𝐩𝐚𝐜𝐤 𝐦𝐲 𝐭𝐡𝐨𝐮𝐠𝐡𝐭𝐬 𝐚𝐧𝐝 𝐛𝐥𝐨𝐰 𝐭𝐡𝐞𝐦 𝐭𝐨 𝐲𝐨𝐮 𝐰𝐢𝐭𝐡 𝐭𝐡𝐞 𝐚𝐮𝐭𝐮𝐦𝐧 𝐰𝐢𝐧𝐝. “我将思念打包 随着秋风吹向你”@Dear-迪丽热巴,https://m.weibo.cn/detail/4753190962596128
纪云禾与鲛人系角色记忆,post,4,粉丝点评/记忆表达明确,是灯还是云,#与君初相识#滴！恭喜玩家纪云禾获得仙师府半日游体验卡一张，请勿触碰展览文物话说纪云禾你逃生路上还能抽空吃个瓜到底是什么神仙体质啊（逃跑那段迪丽热巴身段好漂亮）不过这里其实也是有在做小铺垫，仙师的师父还有那团黑气应该就是关于后面仙姬练的那个禁术了吧我感觉纪云禾跟仙师和仙姬的戏还挺有意思的（我想说三个疯批凑一堆）我永远爱纪云禾的倔强和傲气。明知不可为而为之，我知道打不过你，但我就是要给你一针，怎么的吧老头，不服气嗷，不服气打我啊就是说纪云,https://m.weibo.cn/detail/4753183396071254
爱丽丝与热巴的双向奔赴,post,4,粉丝点评/记忆表达明确,贺思慕老婆,迪丽热巴超话#和迪丽热巴一起迎接2023# dlrb#与迪丽热巴一起欢乐跨年##微博跨年狂欢节#愿新的一年迪丽热巴与爱丽丝都自由自在，无忧无虑，平安喜乐。@Dear-迪丽热巴L不灭幽灵的微博视频 ​,https://m.weibo.cn/detail/4852873966658851
任安乐/帝梓元角色记忆,post,4,粉丝点评/记忆表达明确,清瑶dd,迪丽热巴超话#迪丽热巴纪云禾年度最热奇幻剧角色# dlrb#与迪丽热巴一起欢乐跨年##微博跨年狂欢节#太空浩瀚，岁月悠长，我始终乐于和你分享同一颗行星和同一个时代@Dear-迪丽热巴 迪丽热巴公诉精英|迪丽热巴安旎|迪丽热巴安乐传|迪丽热巴任安乐|迪丽热巴帝梓元 @Dear-迪丽热巴 #迪丽热巴#dlrb#迪丽热巴安旎#dlrb#迪丽热巴公诉精英#,https://m.weibo.cn/detail/4852858811591385
李长歌与《长歌行》角色记忆,post,4,粉丝点评/记忆表达明确,天生大明星罢辽,电视剧长歌行超话又刀又好笑。前一秒叮咛嘱咐，后一秒长歌说我不走了，阿娘立刻冷脸，你快走吧哈哈哈哈哈哈@Dear-迪丽热巴 可能最后一次见面了，找点乐子 ​,https://m.weibo.cn/detail/4620945752333681
纪云禾与鲛人系角色记忆,post,4,粉丝点评/记忆表达明确,携花束赴初夏_,#迪丽热巴与君初相识# dlrb#迪丽热巴纪云禾# 马上就2022年了㊗️宝贝在新的一年里身体健康，工作顺利同时祝《与君初相识》纪云禾 《安乐传》 任安乐新年快乐！早点见面嘿嘿“辞旧迎新”把旧的霉运清走，迎接新的好运“永远都会对这个世界抱有善意，永远都会用一种美好的心去看待这个世界。希望能让大家去看到很正面的一些东西，也让他们对于这个社会能够充满善意，充满阳光”—— @Dear-迪丽热巴,https://m.weibo.cn/detail/4720583931071348
李长歌与《长歌行》角色记忆,post,4,粉丝点评/记忆表达明确,黑蝶信使,迪丽热巴超话dlrb #迪丽热巴李长歌# dlrb迪丽热巴美图组超话 你是我的白日光@Dear-迪丽热巴 #迪丽热巴吃个彩虹# 自修·禁二改·禁抹水印·二传标源 ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ ​​​ 2喀什·疏勒,https://m.weibo.cn/detail/4521638315643015
嘻嘻迪/表情包/可爱梗,post,4,粉丝点评/记忆表达明确,badada爱我,迪丽热巴超话康康我沙雕的小姐妹，流苏毛裤也想得出，哈哈哈哈，笑死我了 ​,https://m.weibo.cn/detail/4455696731349709
嘻嘻迪/表情包/可爱梗,post,4,粉丝点评/记忆表达明确,我的小迪公举,#电视剧烈火如歌# 之前看过一篇小说，是这么形容长的好看的人。从前女娲造人刚开始是捏的，后来捏累了是直接用藤鞭甩出来的。哈哈哈，难怪我长的不咋样，原来我是女娲甩出来的( ｰ̀εｰ́ )我家热巴应该是捏出来的，而且是捏上个三天三夜精心的捏出来的，所以才那么美最后这个动图的小眼神好可爱啊，爱你，么么哒～(^з^)-☆@Dear-迪丽热巴,https://m.weibo.cn/detail/4223555547375639
生日生贺与小小迪陪伴记忆,comment,4,粉丝点评/记忆表达明确,披萨快乐包,#迪丽热巴0603生日快乐# 迪迪生日快乐～❤️❤️❤️,https://m.weibo.cn/detail/5173240034232656
生日生贺与小小迪陪伴记忆,comment,4,粉丝点评/记忆表达明确,皮卡的蓝胖子,#迪丽热巴0603生日快乐# 迪迪生日快乐～❤️❤️❤️,https://m.weibo.cn/detail/5173240034232656
嘻嘻迪/表情包/可爱梗,comment,4,粉丝点评/记忆表达明确,碎碎念的一只喵吖,哈哈哈哈穿着贺思慕的衣服说自己是聂九罗的可爱宝宝#迪丽热巴白日提灯# #迪丽热巴贺思慕#,https://m.weibo.cn/detail/5283679241769049
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,迪宝甜崽,#白日提灯# 我的评分： #白日提灯观后感# 万灵之主贺思慕行事有分寸，处世有底线，温柔强大不言自威#迪丽热巴##贺思慕#,https://m.weibo.cn/detail/5283164035483508
红毯神图与高定封神造型,post,3,粉丝点评/记忆表达明确,别勾叫了行吗,#迪丽热巴和素人合影#4月底南京迪奥活动中，迪丽热巴雨中撑伞生图封神，更因主动与粉丝搓手取暖、谦逊让C位等暖心互动引爆热搜。,https://m.weibo.cn/detail/5293742374260284
演员成长与角色群像评价,post,3,粉丝点评/记忆表达明确,D巴次心动,#迪丽热巴千字长文告别白日提灯#迪丽热巴热巴真的有在好好对待每一个角色，也有好好对待自己作为演员这个身份，我会一直支持你的@Dear-迪丽热巴 ，爱丽丝一直在你身边,https://m.weibo.cn/detail/5291031895737568
爱丽丝与热巴的双向奔赴,post,3,粉丝点评/记忆表达明确,云隙撞碎光,#迪丽热巴补偿去巴黎的粉丝#迪丽热巴因中东冲突致迪拜中转航班停飞，遗憾缺席巴黎时装周，全球奔赴的爱丽丝空等一场，双向奔赴落得满心遗憾。她并未因不可抗力免责，反而心疼粉丝远赴重洋的付出，4月通过后援会核实信息启动专属补偿。这份不推诿、记挂粉丝心意的举动，打破艺人与粉丝的距离感，用真诚 ...全文,https://m.weibo.cn/detail/5286962238063035
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,大风-77,#陈飞宇新剧骗不了迪丽热巴的原因# 我真服了，这部剧宣发在哪里啊！？？，第八集后段胥杀疯，人设立起来了，贺思慕有了触感以后，灵动可爱，多好看啊，没热搜词条！！宣发好像不存在，这剧抖音红薯都在夸，就跟不上宣传，野蛮生长！！纯靠爱丽丝呢😓,https://m.weibo.cn/detail/5282893393297480
迪拜报平安/守护型记忆,post,3,粉丝点评/记忆表达明确,初识阿楚,迪丽热巴平安回国！粉丝从凌晨等到落地，全场大喊“欢迎回家”，这一幕真的破防了！光看视频我就是要哭的程度，更别说当时在现场的爱丽丝们了 #迪丽热巴已安全回国# 初识阿楚的微博视频,https://m.weibo.cn/detail/5273175147680574
爱丽丝与热巴的双向奔赴,post,3,粉丝点评/记忆表达明确,多抓,#迪丽热巴补偿去巴黎的粉丝# 危难滞留缺席时装周，暖心赠礼回馈粉丝，双向奔赴格外治愈 迪丽热巴补偿去巴黎的粉丝,https://m.weibo.cn/detail/5287016716832773
爱丽丝与热巴的双向奔赴,post,3,粉丝点评/记忆表达明确,passby经过,#迪丽热巴补偿去巴黎的粉丝#双向奔赴的爱,https://m.weibo.cn/detail/5286979625290680
爱丽丝与热巴的双向奔赴,post,3,粉丝点评/记忆表达明确,骨上瘾,#迪丽热巴补偿去巴黎的粉丝# 哇塞 迪丽热巴也太好了吧 人这么漂亮 粉丝不再是单向付出 而是双向奔赴 这样粉丝真的要爱她一辈子了,https://m.weibo.cn/detail/5286961260789983
爱丽丝与热巴的双向奔赴,post,3,粉丝点评/记忆表达明确,软萌的两小只_,#迪丽热巴补偿去巴黎的粉丝# 小迪怎么可以这么好 好温柔 好宠粉 也算是粉丝和正主的双向奔赴了 你为我们演绎百态人生，绽放万丈光芒； 我们为你守护岁岁年年，奔赴一路晴朗。 你为我们传递温柔力量，初心一如既往； 我们为你抵挡世间纷扰，护你自在坦荡。,https://m.weibo.cn/detail/5286956760043309
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,星冰乐kiki,#迪丽热巴眼神转换好牛# 女导演和女编剧的感情戏和镜头语言到底做到有多细腻？《白日提灯》（迪丽热巴陈飞宇）前11集的这三处细节给出了完美答案！它用实力证明：好的心动从不用台词喊，好的人物从不用标签堆……喜欢贺思慕的这段台词： “何为天经地义，姜艾贪财，晏柯恋权，关淮贪生，你名利萦心渴求 ...全文,https://m.weibo.cn/detail/5284074097737780
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,阳光可露丽,《白日提灯》：五感互通，是我今年看过最浪漫的设定 有人说《白日提灯》是“女强男弱”的又一次狂欢，可看完前几集，我发现它讲的根本不是谁强谁弱，而是两个残缺的人，如何在对方身上找回自己丢掉的那一块。 迪丽热巴饰演的鬼王贺思慕，活了四百年，却天生缺失五感——她看不见颜色，尝不出味道，闻 ...全文,https://m.weibo.cn/detail/5283019050978544
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,顺逆变化UDLG,#白日提灯# 见面会甜度拉满！迪丽热巴×陈飞宇名场面不断，戴脸链、做糖画、还原台词，贺思慕段胥线下同框狠狠嗑到！ #迪丽热巴##陈飞宇##白日提灯微博追剧团##陈飞宇为迪丽热巴戴脸链# 顺逆变化UDLG的微博视频,https://m.weibo.cn/detail/5282983160578295
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,派大星的小玥亮,#白日提灯# 我的评分： #白日提灯观后感#真的很好看，整部剧的美学呈现真的很令我惊讶，红衣造型的鬼王造型清冷又惊艳，幽冥与人间的场景对比鲜明，提灯亮起时的柔光，既温暖又带着淡淡的忧伤。而演员们的演绎更是赋予角色灵魂，迪丽热巴将贺思慕从懵懂孤寂到深情温柔的 ...全文,https://m.weibo.cn/detail/5287218785553319
爱丽丝与热巴的双向奔赴,post,3,粉丝点评/记忆表达明确,十荔派,#迪丽热巴补偿去巴黎的粉丝# 迪丽热巴和爱丽丝永远都是双向奔赴 热爱🔒,https://m.weibo.cn/detail/5287005386709620
爱丽丝与热巴的双向奔赴,post,3,粉丝点评/记忆表达明确,真服了别管,#迪丽热巴走出来第一秒是望向粉丝# 这就是双向奔赴，嘿嘿,https://m.weibo.cn/detail/5287005371243500
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,是甜甜的迪迪子,#迪丽热巴补偿去巴黎的粉丝# 双向奔赴的爱真好磕❤️ #迪丽热巴白日提灯# dlrb #迪丽热巴贺思慕#,https://m.weibo.cn/detail/5287003101860705
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,惊醒了孤,#我做的白日提灯二创上大屏了#太激动啦！为迪丽热巴饰演的贺思慕创作的角色曲《万灵之主》登上追剧团大屏，歌声与角色同频，这份双向奔赴太圆满啦！追剧综的李二狗的微博视频,https://m.weibo.cn/detail/5282886317509476
乔晶晶与《你是我的荣耀》入坑记忆,post,3,粉丝点评/记忆表达明确,柠檬茶杏子,"#上次忘不了的还是于途和乔晶晶#该剧航天工程师×女明星的设定打破传统偶像剧套路，两人势均力敌的平等关系引发广泛共鸣。杨洋与迪丽热巴因高度契合的角色演绎被封为""天选组合""，剧中双向奔赴的克制情感和细节处理被观众誉为""现偶天花板""。博主以粉丝身份喊话期待演员再次合作现代偶像剧。",https://m.weibo.cn/detail/5282110724378838
乔晶晶与《你是我的荣耀》入坑记忆,post,3,粉丝点评/记忆表达明确,搞笑的赶脚,迪丽热巴#迪丽热巴吃个彩虹##迪丽热巴乔晶晶# 她很真实，大大咧咧，不过她又很宠粉，好爱好爱,https://m.weibo.cn/detail/4544756406034626
乔晶晶与《你是我的荣耀》入坑记忆,post,3,粉丝点评/记忆表达明确,去你去看晚霞,#迪丽热巴乔晶晶# #迪丽热巴李长歌# 昨天姐姐的自拍看到了吗？姐姐真的太宠粉了，啾咪小可爱，啾咪小可爱@Dear-迪丽热巴,https://m.weibo.cn/detail/4541374555234337
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,青椒部落,#入坑迪丽热巴陈飞宇新剧##白日提灯倍速不了一点#《白日提灯》根本没法倍速！迪丽热巴演的贺思慕外冷内萌，陈飞宇的段胥又苏又会撩，宿命感拉满，权谋戏也超带感，每一秒都不能错过！ ​,https://m.weibo.cn/detail/5282098694850349
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,今视频长天新闻,【哪部剧让你忍不住想二刷？】是某个深夜意犹未尽、反刍再三的心动瞬间？还是那些藏于细节的伏笔，非得重头再看方能读懂其中深意？一刷入坑，二刷入魂，每一次重温都是与旧友的重逢。评论区交出那部让你心甘情愿按下播放键的剧名，一起聊聊那些越品越上头的名场面。《月鳞绮纪》@鞠婧祎 @曾舜晞Joseph @陈都灵 @田嘉瑞6 《白日提灯》@Dear-迪丽热巴 @陈飞宇Arthur 《八千里路云和月》@王阳0313 @万茜 @黄澄澄 《危险关系》@tur,https://m.weibo.cn/detail/5285414677776764
高雯名场面与早期出圈,post,3,粉丝点评/记忆表达明确,小鸡腿是我男神,与她们相遇的瞬间 与她们相遇的瞬间高雯 我的点评：[苹果][苹果][苹果][苹果][苹果]高雯入坑迪丽热巴 ​,https://m.weibo.cn/detail/5284800630101279
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,漏漏的二师兄,#迪丽热巴陈飞宇白日提灯热度涨幅#可控的东西都是浮云，无所谓，不影响迪丽热巴打破洗脑包，不影响她吸高质量剧粉，白日提灯剧情越来越高能，现在入坑可以爽看十几二十集咯 ​,https://m.weibo.cn/detail/5284338352259368
演员成长与角色群像评价,post,3,粉丝点评/记忆表达明确,小年糕饼干,#迪丽热巴演技#话不多说，看剧绝对入坑 ​,https://m.weibo.cn/detail/5281927699370928
跑男时期综艺名场面,post,3,粉丝点评/记忆表达明确,别动小獭的毛毯_,#迪丽热巴跑男只录了12天#我记得我当时特别喜欢看有迪丽热巴的那几期，真的是童年回忆了 ​,https://m.weibo.cn/detail/5292089421595813
跑男时期综艺名场面,post,3,粉丝点评/记忆表达明确,会说话的土豆是西红柿,#迪丽热巴跑男只录了12天#居然只有12天吗？但是感觉好久的样子，天哪，满满都是回忆啊，当初最爱看的就是跑男了 ​,https://m.weibo.cn/detail/5292043448618415
跑男时期综艺名场面,post,3,粉丝点评/记忆表达明确,痛肢,#迪丽热巴跑男只录了12天#原来热巴当年在跑男只录了12天，却承包了好多人的青春回忆，原来好的镜头真的能记很久啊 L痛肢的微博视频 ​,https://m.weibo.cn/detail/5292033762662568
跑男时期综艺名场面,post,3,粉丝点评/记忆表达明确,巴次元,迪丽热巴超话#迪丽热巴跑男只录了12天#我巴只用12天，就成了一代人的回忆 ​,https://m.weibo.cn/detail/5292016646753656
白日提灯贺思慕/女鬼鬼王记忆,post,3,粉丝点评/记忆表达明确,昪日弁vvvvv,我修的smell 很感慨 看到这么多鲜活小回忆。#迪丽热巴贺思慕# ​,https://m.weibo.cn/detail/5291066870989126
红毯神图与高定封神造型,post,3,粉丝点评/记忆表达明确,游乐追星海,迪丽热巴哪哪都挺好的，但独独有一点，挺让人看不懂的，那就是她的造型总是一言难尽。这礼服衣服虽然挺有记忆点，但设计比例实在有点奇怪，蝴蝶结的位置太尴尬了，不仅把腰线拉低了，还显得胖。还有她的头发，明明盘起来的时候很好看，现在放下来感觉，发根没夹好，下面的卷也有点乱，不清爽。要不是迪丽热巴的颜值，这造型谁能撑起来啊？#微博二创视频创作季# L游乐追星海的微博视频,https://m.weibo.cn/detail/5292781855572874
跑男时期综艺名场面,post,3,粉丝点评/记忆表达明确,悠悠拾光紀,#迪丽热巴跑男只录了12天#OMG才录了12天吗!记忆中很多神级镜头，吃辣椒酱，水池大战，指压板上吃面包等等印象超深刻。力气大、活泼漂亮、玩得起没有偶像包袱、性格讨人喜欢，非常出圈。带给我很多欢乐，特别喜欢迪丽热巴。 ​,https://m.weibo.cn/detail/5292061051323437
跑男时期综艺名场面,post,3,粉丝点评/记忆表达明确,极少日记,#迪丽热巴跑男只录了12天#：12天的录制成为现象级记忆点，既是迪丽热巴观众缘与综艺感的印证，也折射出早期综艺制作的放大效应。观众怀念的不仅是经典画面，更是她毫无保留的真诚投入 ​,https://m.weibo.cn/detail/5292009411578648
